"MergingVar","HOT1","HOT2","id"
"dirinc_3",2,6,1
"dirinc_4",2,6,2
"dirinc_6",2,6,3
"dirinc_7",3,7,4
"dirinc_8",7,7,5
"dirinc_10",6,11,6
"dirinc_11",2,5,7
"dirinc_12",3,7,8
"dirinc_14",3,7,9
"dirinc_17",4,9,10
"dirinc_18",1,1,11
"dirinc_20",6,7,12
"dirinc_23",5,8,13
"dirinc_24",1,4,14
"dirinc_32",6,4,15
"dirinc_33",4,5,16
"dirinc_35",6,11,17
"dirinc_36",1,1,18
"dirinc_37",5,9,19
"dirinc_38",1,1,20
"dirinc_39",4,4,21
"dirinc_42",4,3,22
"dirinc_44",2,7,23
"dirinc_45",4,8,24
"dirinc_46",4,5,25
"dirinc_47",6,11,26
"dirinc_48",8,9,27
"dirinc_51",1,8,28
"dirinc_53",3,7,29
"dirinc_54",2,11,30
"dirinc_55",4,12,31
"dirinc_58",6,8,32
"dirinc_59",4,5,33
"dirinc_61",1,4,34
"dirinc_62",1,1,35
"dirinc_63",3,8,36
"dirinc_65",4,8,37
"dirinc_67",6,11,38
"dirinc_70",6,11,39
"dirinc_71",6,1,40
"dirinc_73",4,4,41
"dirinc_74",1,3,42
"dirinc_75",1,6,43
"dirinc_78",2,6,44
"dirinc_82",7,6,45
"dirinc_83",8,10,46
"dirinc_86",6,4,47
"dirinc_87",6,9,48
"dirinc_89",6,4,49
"dirinc_92",8,4,50
